"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Create file","LMS service","Thu Jan 22 15:35:27 UTC 2026","passed","Thu Jan 22 15:35:27 UTC 2026","Create entity","Files","",""
"","288","Update exercise","LMS service","Thu Jan 22 15:35:25 UTC 2026","passed","Thu Jan 22 15:35:25 UTC 2026","Update entity","Exercises","",""
"","301","Create course","LMS service","Thu Jan 22 15:35:22 UTC 2026","passed","Thu Jan 22 15:35:22 UTC 2026","Create entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Thu Jan 22 15:35:30 UTC 2026","passed","Thu Jan 22 15:35:30 UTC 2026","Validate entity","Files","",""
"","302","Get courses","LMS service","Thu Jan 22 15:35:22 UTC 2026","passed","Thu Jan 22 15:35:23 UTC 2026","Get entities","Courses","",""
"","306","Update course","LMS service","Thu Jan 22 15:35:23 UTC 2026","passed","Thu Jan 22 15:35:24 UTC 2026","Update entity","Courses","",""
"","21","Create exercise","LMS service","Thu Jan 22 15:35:24 UTC 2026","passed","Thu Jan 22 15:35:24 UTC 2026","Create entity","Exercises","",""
"","294","Get exercises","LMS service","Thu Jan 22 15:35:26 UTC 2026","passed","Thu Jan 22 15:35:27 UTC 2026","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Thu Jan 22 15:35:26 UTC 2026","passed","Thu Jan 22 15:35:26 UTC 2026","Delete entity","Exercises","",""
"","529","Create user","LMS service","Thu Jan 22 15:35:29 UTC 2026","passed","Thu Jan 22 15:35:30 UTC 2026","Create entity","Users","",""
"","13","Get file","LMS service","Thu Jan 22 15:35:28 UTC 2026","passed","Thu Jan 22 15:35:28 UTC 2026","Get entity","Files","",""
"","527","Create user","LMS service","Thu Jan 22 15:35:30 UTC 2026","passed","Thu Jan 22 15:35:30 UTC 2026","Create entity","Users","",""
"","267","Create file with empty filename","LMS service","Thu Jan 22 15:35:29 UTC 2026","passed","Thu Jan 22 15:35:29 UTC 2026","Validate entity","Files","",""
"","284","Login with correct email and password","LMS service","Thu Jan 22 15:35:21 UTC 2026","passed","Thu Jan 22 15:35:22 UTC 2026","Login","Authentication","",""
"","18","Create file with empty directory","LMS service","Thu Jan 22 15:35:29 UTC 2026","passed","Thu Jan 22 15:35:29 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Thu Jan 22 15:35:31 UTC 2026","passed","Thu Jan 22 15:35:31 UTC 2026","Get entity","Users","",""
"","313","Get exercise","LMS service","Thu Jan 22 15:35:25 UTC 2026","passed","Thu Jan 22 15:35:26 UTC 2026","Get entity","Exercises","",""
"","561","Create user","LMS service","Thu Jan 22 15:35:30 UTC 2026","passed","Thu Jan 22 15:35:31 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Thu Jan 22 15:35:28 UTC 2026","passed","Thu Jan 22 15:35:28 UTC 2026","Delete entity","Files","",""
